Date,Format,Layout,Location,Registration Link,Sign up period starts,Starts,Sunset Times
02/22,Tags,The 3 Evils,Tranquility Trails,,9:15 AM,10:00 AM,*
03/08,Tags,The 3 Evils,Tranquility Trails,,9:15 AM,10:00 AM,*
03/15,Birdie Present: Back in the Saddle,,Tranquility Trails,https://www.discgolfscene.com/tournaments/Birdie_Presents_Back_in_the_Saddle_2025,,,*
03/22,Tags,Longs,Tranquility Trails,,9:15 AM,10:00 AM,*
03/29,Doubles,TeeBird 2x2,Tranquility Trails,,9:15 AM,10:00 AM,*
04/03,Tags,Short Odds Long Evens,Tranquility Trails,,4:45 PM,5:30 PM,7:27 PM
04/10,Tags,Long Odds Short Evens,Tranquility Trails,,4:45 PM,5:30 PM,7:34 PM
04/17,Tags,Shorts,Tranquility Trails,,4:45 PM,5:30 PM,7:41 PM
04/24,Doubles,Short 4s Long 3s,Tranquility Trails,,5:00 PM,5:45 PM,7:48 PM
05/01,Tags,Reverse 3 evils,Tranquility Trails,,5:00 PM,5:45 PM,*
05/08,Tags,Reverse TeeBird 2x2,Tranquility Trails,,5:00 PM,5:45 PM,*
05/15,Tags,Short 4s Long 3s,Tranquility Trails,,5:00 PM,5:45 PM,*
05/22,Doubles,Longs,Tranquility Trails,,5:00 PM,5:45 PM,*
05/29,Tags,"Short Odds, Long Evens",Tranquility Trails,,5:00 PM,5:45 PM,*
06/05,Tags,Long Odds Short Evens,Tranquility Trails,,5:00 PM,5:45 PM,*
06/12,Tags,Shorts,Tranquility Trails,,5:00 PM,5:45 PM,*
06/19,Doubles,Reverse Teebird 2x2,Tranquility Trails,,5:00 PM,5:45 PM,*
06/26,Tags,The 3 Evils,Tranquility Trails,,5:00 PM,5:45 PM,*
07/03,Tags,Short Front 9 Long Back 9,Tranquility Trails,,5:00 PM,5:45 PM,*
07/10,Tags,"Long Front 9, Short Back 9",Tranquility Trails,,5:00 PM,5:45 PM,*
07/17,Doubles,Short Odds Long Evens,Tranquility Trails,,5:00 PM,5:45 PM,*
07/24,Tags,TeeBird 2x2,Tranquility Trails,,5:00 PM,5:45 PM,*
07/31,Tags,Longs,Tranquility Trails,,5:00 PM,5:45 PM,*
08/07,Tags,Short 4s Long 3s,Tranquility Trails,,5:00 PM,5:45 PM,*
08/14,Doubles,Shorts,Tranquility Trails,,5:00 PM,5:45 PM,*
08/21,Tags,Reverse TeeBird 2x2,Tranquility Trails,,5:00 PM,5:45 PM,*
08/28,Tags,Reverse 3 Evils,Tranquility Trails,,4:45 PM,5:30 PM,7:38 PM
09/04,Tags,Short Front 9 Long Back 9,Tranquility Trails,,5:00 PM,5:45 PM,7:27 PM
09/11,Doubles,Longs,Tranquility Trails,,4:15 PM,5:00 PM,7:16 PM
09/18,Tags,Teebird 2x2,Tranquility Trails,,4:15 PM,5:00 PM,7:04 PM